Page 1:
p1-t1: Rect(166.6739959716797, 149.17401123046875, 555.6740112304688, 171.99200439453125)
p1-t2: Rect(38.67409896850586, 204.99200439453125, 334.67401123046875, 217.99200439453125)
p1-t3: Rect(337.67401123046875, 204.99200439453125, 432.67401123046875, 217.99200439453125)
p1-t4: Rect(36.67409896850586, 242.99200439453125, 562.6740112304688, 256.99200439453125)
p1-t6: Rect(50.67409896850586, 276.99200439453125, 71.67410278320312, 290.99200439453125)
p1-t7: Rect(72.67410278320312, 276.99200439453125, 160.6739959716797, 289.99200439453125)
p1-t5: Rect(336.67401123046875, 275.99200439453125, 564.6740112304688, 288.99200439453125)
p1-cb1: Rect(86.67410278320312, 305.99200439453125, 97.67410278320312, 316.99200439453125)
p1-cb2: Rect(149.6739959716797, 305.99200439453125, 159.6739959716797, 316.99200439453125)
p1-cb3: Rect(234.6739959716797, 305.99200439453125, 245.6739959716797, 316.99200439453125)
p1-cb4: Rect(322.67401123046875, 305.99200439453125, 332.67401123046875, 316.99200439453125)
p1-t8: Rect(413.67401123046875, 305.99200439453125, 562.6740112304688, 318.99200439453125)
p1-t9: Rect(54.67409896850586, 339.99200439453125, 561.6740112304688, 414.99200439453125)
p1-cb6: Rect(56.0, 433.0, 67.0, 443.0)
p1-cb5: Rect(314.0, 432.0, 325.0, 443.0)
p1-t10: Rect(331.0, 442.0, 561.0, 455.0)
p1-cb7: Rect(56.0, 449.0, 67.0, 460.0)
p1-cb9: Rect(57.0, 464.0, 67.0, 474.0)
p1-t11: Rect(72.0, 477.0, 275.0, 490.0)
p1-cb8: Rect(313.0, 459.0, 324.0, 470.0)
p1-t12: Rect(329.0, 477.0, 561.0, 490.0)
p1-t13: Rect(55.0, 492.0, 563.0, 551.0)
p1-cb10: Rect(56.0, 570.0, 67.0, 581.0)
p1-cb11: Rect(247.0, 570.0, 257.0, 581.0)
p1-cb12: Rect(438.0, 570.0, 449.0, 581.0)
p1-cb13: Rect(56.0, 586.0, 67.0, 597.0)
p1-cb14: Rect(247.0, 586.0, 257.0, 597.0)
p1-t14: Rect(336.0, 583.0, 565.0, 597.0)
p1-t15: Rect(55.0, 600.0, 564.0, 674.0)

----------------------------------------

Page 2:

----------------------------------------

