p1-t1: Rect(18.674100875854492, 80.84698486328125, 427.67401123046875, 170.84698486328125)
p1-t2: Rect(431.67401123046875, 86.84698486328125, 593.6740112304688, 100.84698486328125)
p1-t3: Rect(431.67401123046875, 122.84698486328125, 593.6740112304688, 135.84698486328125)
p1-t4: Rect(430.67401123046875, 157.84698486328125, 593.6740112304688, 170.84698486328125)
p1-t5: Rect(17.674100875854492, 258.84698486328125, 111.67400360107422, 346.84698486328125)
p1-t6: Rect(114.67400360107422, 259.84698486328125, 206.6739959716797, 346.84698486328125)
p1-t7: Rect(207.6739959716797, 258.84698486328125, 322.67401123046875, 346.84698486328125)
p1-t8: Rect(322.67401123046875, 257.84698486328125, 375.67401123046875, 346.84698486328125)
p1-t9: Rect(377.67401123046875, 257.84698486328125, 430.67401123046875, 346.84698486328125)
p1-t10: Rect(430.67401123046875, 257.84698486328125, 502.67401123046875, 346.84698486328125)
p1-t11: Rect(504.67401123046875, 257.84698486328125, 593.6740112304688, 346.84698486328125)
p1-t12: Rect(18.674100875854492, 414.84698486328125, 202.6739959716797, 427.84698486328125)
p1-t15: Rect(434.67401123046875, 407.84698486328125, 593.6740112304688, 490.84698486328125)
p1-t13: Rect(17.674100875854492, 458.84698486328125, 202.6739959716797, 471.84698486328125)
p1-t16: Rect(17.674100875854492, 554.8469848632812, 111.67400360107422, 693.84716796875)
p1-t17: Rect(115.67400360107422, 554.8469848632812, 161.6739959716797, 694.84716796875)
p1-t18: Rect(162.6739959716797, 554.8469848632812, 208.6739959716797, 694.84716796875)
p1-t19: Rect(207.6739959716797, 554.8469848632812, 300.67401123046875, 693.84716796875)
p1-t20: Rect(300.67401123046875, 553.8469848632812, 358.67401123046875, 693.84716796875)
p1-t21: Rect(359.67401123046875, 553.8469848632812, 430.67401123046875, 693.84716796875)
p1-t22: Rect(431.67401123046875, 553.8469848632812, 503.67401123046875, 693.84716796875)
p1-t23: Rect(504.67401123046875, 553.8469848632812, 593.6740112304688, 693.84716796875)
p1-t24: Rect(17.674100875854492, 742.84716796875, 199.6739959716797, 756.84716796875)
p1-t25: Rect(208.6739959716797, 742.84716796875, 503.67401123046875, 756.84716796875)
p1-t26: Rect(508.67401123046875, 742.84716796875, 591.6740112304688, 756.84716796875)
p1-t14: Rect(213.20599365234375, 430.6390075683594, 391.4909973144531, 450.8039855957031)
p1-t1: Rect(18.674100875854492, 80.84698486328125, 427.67401123046875, 170.84698486328125)
p1-t2: Rect(431.67401123046875, 86.84698486328125, 593.6740112304688, 100.84698486328125)
p1-t3: Rect(431.67401123046875, 122.84698486328125, 593.6740112304688, 135.84698486328125)
p1-t4: Rect(430.67401123046875, 157.84698486328125, 593.6740112304688, 170.84698486328125)
p1-t5: Rect(17.674100875854492, 258.84698486328125, 111.67400360107422, 346.84698486328125)
p1-t6: Rect(114.67400360107422, 259.84698486328125, 206.6739959716797, 346.84698486328125)
p1-t7: Rect(207.6739959716797, 258.84698486328125, 322.67401123046875, 346.84698486328125)
p1-t8: Rect(322.67401123046875, 257.84698486328125, 375.67401123046875, 346.84698486328125)
p1-t9: Rect(377.67401123046875, 257.84698486328125, 430.67401123046875, 346.84698486328125)
p1-t10: Rect(430.67401123046875, 257.84698486328125, 502.67401123046875, 346.84698486328125)
p1-t11: Rect(504.67401123046875, 257.84698486328125, 593.6740112304688, 346.84698486328125)
p1-t12: Rect(18.674100875854492, 414.84698486328125, 202.6739959716797, 427.84698486328125)
p1-t15: Rect(434.67401123046875, 407.84698486328125, 593.6740112304688, 490.84698486328125)
p1-t13: Rect(17.674100875854492, 458.84698486328125, 202.6739959716797, 471.84698486328125)
p1-t16: Rect(17.674100875854492, 554.8469848632812, 111.67400360107422, 693.84716796875)
p1-t17: Rect(115.67400360107422, 554.8469848632812, 161.6739959716797, 694.84716796875)
p1-t18: Rect(162.6739959716797, 554.8469848632812, 208.6739959716797, 694.84716796875)
p1-t19: Rect(207.6739959716797, 554.8469848632812, 300.67401123046875, 693.84716796875)
p1-t20: Rect(300.67401123046875, 553.8469848632812, 358.67401123046875, 693.84716796875)
p1-t21: Rect(359.67401123046875, 553.8469848632812, 430.67401123046875, 693.84716796875)
p1-t22: Rect(431.67401123046875, 553.8469848632812, 503.67401123046875, 693.84716796875)
p1-t23: Rect(504.67401123046875, 553.8469848632812, 593.6740112304688, 693.84716796875)
p1-t24: Rect(17.674100875854492, 742.84716796875, 199.6739959716797, 756.84716796875)
p1-t25: Rect(208.6739959716797, 742.84716796875, 503.67401123046875, 756.84716796875)
p1-t26: Rect(508.67401123046875, 742.84716796875, 591.6740112304688, 756.84716796875)
p1-t14: Rect(213.20599365234375, 430.6390075683594, 391.4909973144531, 450.8039855957031)
