Page 1:
f1-1: Rect(131.49899291992188, 99.666015625, 149.83200073242188, 112.9990234375)
f1-2: Rect(253.1649932861328, 99.666015625, 353.99798583984375, 112.9990234375)
f1-3: Rect(370.66400146484375, 99.666015625, 389.66400146484375, 112.9990234375)
f1-4: Rect(433.16400146484375, 99.666015625, 530.6630249023438, 112.9990234375)
f1-5: Rect(546.3300170898438, 99.666015625, 566.1630249023438, 112.9990234375)
f1-6: Rect(40.333099365234375, 124.9990234375, 421.33099365234375, 137.166015625)
f1-7: Rect(442.16400146484375, 124.666015625, 463.8299865722656, 137.166015625)
f1-8: Rect(466.66400146484375, 124.9990234375, 545.8300170898438, 137.4990234375)
f1-9: Rect(40.66640090942383, 149.166015625, 566.4970092773438, 161.33197021484375)
f1-10: Rect(40.333099365234375, 173.33197021484375, 567.1630249023438, 185.666015625)
f1-11: Rect(40.333099365234375, 196.66497802734375, 421.33099365234375, 209.66497802734375)
f1-12: Rect(442.16400146484375, 197.4990234375, 463.8299865722656, 209.66497802734375)
f1-13: Rect(466.66400146484375, 197.66497802734375, 546.8300170898438, 210.16497802734375)
f1-14: Rect(406.16400146484375, 301.99798583984375, 566.1630249023438, 317.1650085449219)

----------------------------------------

